provider_id,provider_name,specialty,clinic_location
1,Mr. Chris Hansen,Internal Medicine,Irvine
2,Susan Munoz,Neurology,Tustin
3,Amanda Johnson,Orthopedics,Costa Mesa
4,Carolyn Haney,Internal Medicine,Newport Beach
5,Larry Pierce,Pulmonology,Mission Viejo
6,Brandon Robinson,Cardiology,Irvine
7,Jeremy Pham,Internal Medicine,Tustin
8,Catherine Sanders,Orthopedics,Irvine
9,Kimberly Good,Gastroenterology,Tustin
10,Dustin Walker,Gastroenterology,Mission Viejo
11,Michael Terry,Orthopedics,Santa Ana
12,Michael Johnson,Pulmonology,Anaheim
13,Jordan Hutchinson,Cardiology,Costa Mesa
14,Brent Humphrey,Dermatology,Orange
15,Jimmy Reese,Neurology,Costa Mesa
16,Jacqueline Miller,Orthopedics,Orange
17,Cynthia Romero,Internal Medicine,Newport Beach
18,Robyn Ward,Dermatology,Newport Beach
19,Lisa Ryan,ENT,Orange
20,Sheryl Mercado MD,Pulmonology,Anaheim
21,Sheena Arnold,Cardiology,Santa Ana
22,Mackenzie Vang,Gastroenterology,Newport Beach
23,Christopher Valencia,Dermatology,Newport Beach
24,Daniel Ewing,Gastroenterology,Anaheim
25,Robin Harris,Pulmonology,Orange
